Waktu (HH:MM:SS.ms),Nilai ADC
10:05:17.752,4095
10:05:17.752,3399
10:05:17.752,2224
10:05:17.752,1575
10:05:17.752,1072
10:05:17.752,681
10:05:17.752,470
10:05:17.752,373
10:05:17.752,361
10:05:17.752,385
10:05:17.757,418
10:05:17.757,377
10:05:17.757,383
10:05:17.758,461
10:05:17.759,467
10:05:17.759,544
10:05:17.759,662
10:05:17.760,697
10:05:17.760,752
10:05:17.822,720
10:05:17.925,855
10:05:18.025,949
10:05:18.120,989
10:05:18.225,1033
10:05:18.329,1077
10:05:18.429,1023
10:05:18.522,1103
10:05:18.629,1227
10:05:18.730,1102
10:05:18.823,1074
10:05:18.932,1075
10:05:19.028,1300
10:05:19.129,1484
10:05:19.224,1712
10:05:19.328,2046
10:05:19.422,2477
10:05:19.528,2512
10:05:19.625,2133
10:05:19.734,2071
10:05:19.824,1663
10:05:19.926,2011
10:05:20.027,1770
10:05:20.129,2393
10:05:20.229,3141
10:05:20.331,2521
10:05:20.432,2267
10:05:20.523,1856
10:05:20.628,1872
10:05:20.729,1456
10:05:20.828,1291
10:05:20.924,1136
10:05:21.035,1330
10:05:21.123,2224
10:05:21.227,1692
10:05:21.329,1136
10:05:21.428,773
10:05:21.520,581
10:05:21.623,638
10:05:21.729,651
10:05:21.824,592
10:05:21.925,481
10:05:22.028,363
10:05:22.124,301
10:05:22.222,303
10:05:22.326,330
10:05:22.429,306
10:05:22.527,321
10:05:22.630,315
10:05:22.727,321
10:05:22.827,396
10:05:22.928,385
10:05:23.026,424
10:05:23.127,454
10:05:23.220,419
10:05:23.328,426
10:05:23.429,403
10:05:23.530,364
10:05:23.624,347
10:05:23.726,368
10:05:23.825,358
10:05:23.925,336
10:05:24.027,309
10:05:24.127,321
10:05:24.228,306
10:05:24.318,332
10:05:24.429,345
10:05:24.526,375
10:05:24.628,368
10:05:24.726,346
10:05:24.824,364
10:05:24.927,345
