Waktu (HH:MM:SS.ms),Nilai ADC
16:42:48.028,145
16:42:48.028,191
16:42:48.028,175
16:42:48.028,181
16:42:48.028,253
16:42:48.028,155
16:42:48.028,123
16:42:48.028,163
16:42:48.028,201
16:42:48.028,207
16:42:48.035,191
16:42:48.035,208
16:42:48.037,215
16:42:48.037,224
16:42:48.037,208
16:42:48.038,130
16:42:48.039,144
16:42:48.041,187
16:42:48.042,200
16:42:48.095,192
16:42:48.204,256
16:42:48.299,206
16:42:48.402,272
16:42:48.506,310
16:42:48.606,363
16:42:48.706,464
16:42:48.804,557
16:42:48.906,621
16:42:49.008,604
16:42:49.103,511
16:42:49.210,390
16:42:49.301,471
16:42:49.405,406
16:42:49.503,368
16:42:49.604,304
16:42:49.701,249
16:42:49.799,321
16:42:49.906,346
16:42:50.007,267
16:42:50.103,245
16:42:50.206,205
16:42:50.299,326
16:42:50.402,261
16:42:50.505,194
16:42:50.600,259
16:42:50.704,398
16:42:50.805,427
16:42:50.903,782
16:42:51.003,1105
16:42:51.106,1266
16:42:51.201,1955
16:42:51.307,2274
16:42:51.403,3685
16:42:51.509,4095
16:42:51.602,4095
16:42:51.701,4095
16:42:51.806,4095
16:42:51.907,4095
16:42:52.003,4095
16:42:52.104,3975
16:42:52.203,4095
16:42:52.305,3505
16:42:52.407,2850
16:42:52.502,2261
16:42:52.607,2176
16:42:52.700,2114
16:42:52.806,2444
16:42:52.909,1824
16:42:53.004,2397
16:42:53.101,1519
16:42:53.206,1789
16:42:53.307,1980
16:42:53.406,1664
16:42:53.507,1213
16:42:53.609,1494
16:42:53.701,1290
16:42:53.813,1245
16:42:53.907,1077
16:42:54.003,887
16:42:54.106,962
16:42:54.207,1103
16:42:54.303,934
16:42:54.402,833
16:42:54.505,733
16:42:54.606,676
16:42:54.707,752
16:42:54.806,560
16:42:54.905,599
16:42:55.001,613
16:42:55.102,510
16:42:55.203,411
16:42:55.304,406
16:42:55.406,410
16:42:55.506,342
16:42:55.602,286
16:42:55.705,195
16:42:55.808,224
16:42:55.907,208
16:42:56.010,274
16:42:56.101,292
16:42:56.206,278
16:42:56.300,183
16:42:56.403,247
16:42:56.505,341
16:42:56.605,377
16:42:56.701,272
16:42:56.807,225
16:42:56.901,285
16:42:57.006,304
16:42:57.107,257
16:42:57.202,204
16:42:57.306,240
16:42:57.405,162
16:42:57.508,146
16:42:57.606,177
16:42:57.701,208
16:42:57.805,239
16:42:57.905,318
16:42:58.003,260
16:42:58.103,275
16:42:58.206,393
16:42:58.307,208
16:42:58.402,208
16:42:58.503,202
16:42:58.606,227
16:42:58.705,170
16:42:58.805,238
16:42:58.907,256
16:42:59.007,256
16:42:59.108,208
16:42:59.201,237
16:42:59.301,207
16:42:59.407,244
