Waktu (HH:MM:SS.ms),Nilai ADC
16:34:46.154,1827
16:34:46.154,1296
16:34:46.154,816
16:34:46.154,508
16:34:46.154,300
16:34:46.154,176
16:34:46.159,114
16:34:46.159,97
16:34:46.159,85
16:34:46.162,99
16:34:46.162,87
16:34:46.163,94
16:34:46.163,82
16:34:46.164,87
16:34:46.165,86
16:34:46.165,86
16:34:46.167,81
16:34:46.169,98
16:34:46.169,90
16:34:46.230,80
16:34:46.332,90
16:34:46.432,52
16:34:46.532,95
16:34:46.628,86
16:34:46.730,86
16:34:46.832,93
16:34:46.929,85
16:34:47.040,95
16:34:47.131,103
16:34:47.228,81
16:34:47.332,86
16:34:47.432,89
16:34:47.532,102
16:34:47.632,80
16:34:47.732,85
16:34:47.832,90
16:34:47.932,95
16:34:48.030,87
16:34:48.132,90
16:34:48.235,101
16:34:48.333,96
16:34:48.432,91
16:34:48.532,85
16:34:48.630,82
16:34:48.725,97
16:34:48.830,91
16:34:48.923,83
16:34:49.034,86
16:34:49.132,90
16:34:49.234,99
16:34:49.333,112
16:34:49.425,92
16:34:49.533,101
16:34:49.630,91
16:34:49.730,98
16:34:49.835,101
16:34:49.937,175
16:34:50.025,133
16:34:50.131,153
16:34:50.227,187
16:34:50.331,214
16:34:50.433,325
16:34:50.531,400
16:34:50.626,282
16:34:50.726,325
16:34:50.824,351
16:34:50.931,426
16:34:51.038,413
16:34:51.124,511
16:34:51.225,652
16:34:51.332,805
16:34:51.427,710
16:34:51.532,1154
16:34:51.632,2000
16:34:51.730,2855
16:34:51.831,3568
16:34:51.925,2687
16:34:52.034,2032
16:34:52.133,2119
16:34:52.230,2405
16:34:52.333,2496
16:34:52.429,2518
16:34:52.528,2621
16:34:52.627,2707
16:34:52.725,2895
16:34:52.830,2695
16:34:52.934,2078
16:34:53.027,2839
16:34:53.133,2559
16:34:53.231,2550
16:34:53.328,2467
16:34:53.429,1968
16:34:53.533,2071
16:34:53.632,2458
16:34:53.742,2206
16:34:53.833,2039
16:34:53.932,2134
16:34:54.034,1990
16:34:54.133,1681
16:34:54.233,1535
16:34:54.334,1424
16:34:54.435,2139
16:34:54.529,1163
16:34:54.634,1349
16:34:54.733,1290
16:34:54.828,1515
16:34:54.933,1535
16:34:55.035,1285
16:34:55.132,1634
16:34:55.233,1834
16:34:55.332,1457
16:34:55.435,1451
16:34:55.533,1535
16:34:55.631,1746
16:34:55.735,1454
16:34:55.833,1145
16:34:55.927,1415
16:34:56.033,1108
16:34:56.133,1185
16:34:56.229,1211
16:34:56.333,1392
16:34:56.430,1639
16:34:56.534,1375
16:34:56.635,975
16:34:56.728,1207
16:34:56.832,1854
16:34:56.925,1973
16:34:57.030,2304
16:34:57.132,1604
16:34:57.232,944
16:34:57.332,476
16:34:57.434,287
16:34:57.527,310
16:34:57.630,208
16:34:57.725,225
16:34:57.826,216
16:34:57.931,169
16:34:58.033,129
16:34:58.129,99
16:34:58.231,103
16:34:58.330,96
16:34:58.432,95
16:34:58.523,90
16:34:58.632,90
16:34:58.732,87
16:34:58.833,90
16:34:58.933,82
16:34:59.032,91
16:34:59.130,83
16:34:59.228,90
16:34:59.332,91
16:34:59.432,93
16:34:59.527,86
16:34:59.632,99
16:34:59.733,95
16:34:59.825,96
16:34:59.932,80
16:35:00.030,85
16:35:00.126,83
16:35:00.226,80
16:35:00.326,98
16:35:00.437,98
16:35:00.532,80
16:35:00.627,96
16:35:00.732,93
16:35:00.830,97
16:35:00.932,89
16:35:01.032,82
16:35:01.132,95
16:35:01.234,83
16:35:01.326,87
16:35:01.431,86
16:35:01.531,91
16:35:01.622,92
16:35:01.727,80
16:35:01.831,91
16:35:01.932,80
16:35:02.033,97
16:35:02.132,95
16:35:02.222,92
16:35:02.333,109
16:35:02.432,94
16:35:02.526,83
16:35:02.633,103
16:35:02.730,89
16:35:02.832,80
16:35:02.925,94
16:35:03.032,85
16:35:03.132,99
16:35:03.228,86
16:35:03.331,88
16:35:03.435,87
16:35:03.530,92
16:35:03.627,82
16:35:03.731,94
16:35:03.832,87
16:35:03.923,90
16:35:04.033,83
16:35:04.130,91
16:35:04.230,98
16:35:04.331,92
16:35:04.431,81
16:35:04.526,87
16:35:04.630,100
16:35:04.731,91
16:35:04.824,87
16:35:04.925,105
16:35:05.030,93
16:35:05.131,94
16:35:05.226,144
16:35:05.333,99
16:35:05.436,90
16:35:05.524,90
16:35:05.629,87
16:35:05.733,83
16:35:05.826,87
16:35:05.934,93
16:35:06.037,83
16:35:06.123,81
16:35:06.224,90
16:35:06.323,81
16:35:06.427,89
