Waktu (HH:MM:SS.ms),Nilai ADC
16:34:02.905,1763
16:34:02.905,1234
16:34:02.912,847
16:34:02.912,547
16:34:02.912,309
16:34:02.912,186
16:34:02.914,113
16:34:02.914,101
16:34:02.914,86
16:34:02.914,85
16:34:02.914,82
16:34:02.914,95
16:34:02.914,92
16:34:02.914,76
16:34:02.914,87
16:34:02.914,91
16:34:02.917,94
16:34:02.918,96
16:34:02.918,85
16:34:02.979,84
16:34:03.078,86
16:34:03.183,93
16:34:03.280,59
16:34:03.379,86
16:34:03.483,96
16:34:03.585,87
16:34:03.681,84
16:34:03.784,94
16:34:03.882,81
16:34:03.980,83
16:34:04.085,176
16:34:04.182,156
16:34:04.288,104
16:34:04.382,97
16:34:04.480,54
16:34:04.576,92
16:34:04.681,93
16:34:04.782,95
16:34:04.884,81
16:34:04.982,97
16:34:05.093,96
16:34:05.183,103
16:34:05.285,97
16:34:05.382,117
16:34:05.486,122
16:34:05.583,118
16:34:05.688,115
16:34:05.783,109
16:34:05.880,98
16:34:05.983,99
16:34:06.080,109
16:34:06.184,91
16:34:06.278,106
16:34:06.383,95
16:34:06.483,91
16:34:06.585,89
16:34:06.676,86
16:34:06.782,75
16:34:06.882,84
16:34:06.985,83
16:34:07.085,83
16:34:07.181,82
16:34:07.282,89
16:34:07.385,87
16:34:07.485,89
16:34:07.583,89
16:34:07.684,91
16:34:07.782,86
16:34:07.885,89
16:34:07.982,81
16:34:08.084,85
16:34:08.186,85
16:34:08.283,99
16:34:08.386,112
16:34:08.484,99
16:34:08.576,65
16:34:08.686,110
16:34:08.785,96
16:34:08.879,103
16:34:08.985,92
16:34:09.081,96
16:34:09.185,96
16:34:09.279,94
16:34:09.382,98
16:34:09.481,92
16:34:09.582,87
16:34:09.683,89
16:34:09.785,97
16:34:09.876,90
16:34:09.982,99
16:34:10.081,85
16:34:10.185,93
16:34:10.281,88
16:34:10.386,80
16:34:10.483,80
16:34:10.580,92
16:34:10.683,82
16:34:10.783,90
16:34:10.882,94
16:34:10.985,95
16:34:11.082,98
16:34:11.185,95
16:34:11.281,87
16:34:11.387,92
16:34:11.481,99
16:34:11.586,102
16:34:11.682,112
16:34:11.783,73
16:34:11.884,111
16:34:11.980,110
16:34:12.085,112
16:34:12.186,109
16:34:12.286,101
16:34:12.386,105
16:34:12.480,90
16:34:12.585,85
16:34:12.684,89
16:34:12.788,103
16:34:12.883,97
16:34:12.981,90
16:34:13.085,97
16:34:13.184,97
16:34:13.279,85
16:34:13.383,96
16:34:13.483,94
16:34:13.585,80
16:34:13.685,102
16:34:13.784,110
16:34:13.880,92
16:34:13.982,80
16:34:14.082,80
16:34:14.188,91
16:34:14.283,94
16:34:14.383,82
16:34:14.481,80
16:34:14.584,91
16:34:14.687,108
16:34:14.786,99
16:34:14.883,119
16:34:14.976,79
16:34:15.086,117
16:34:15.180,210
16:34:15.283,241
16:34:15.380,433
16:34:15.486,353
16:34:15.579,379
16:34:15.683,511
16:34:15.786,673
16:34:15.883,538
16:34:15.986,704
16:34:16.089,1022
16:34:16.187,1298
16:34:16.282,2655
16:34:16.380,2701
16:34:16.487,2775
16:34:16.587,2990
16:34:16.689,2522
16:34:16.791,1958
16:34:16.889,1408
16:34:16.981,1616
16:34:17.087,1559
16:34:17.187,1281
16:34:17.287,1071
16:34:17.388,1214
16:34:17.487,1343
16:34:17.584,1280
16:34:17.686,1354
16:34:17.786,1523
16:34:17.887,1226
16:34:17.982,1379
16:34:18.087,1458
16:34:18.185,1094
16:34:18.287,1139
16:34:18.388,1520
16:34:18.483,1179
16:34:18.583,951
16:34:18.687,1295
16:34:18.787,1154
16:34:18.881,939
16:34:18.985,1007
16:34:19.089,963
16:34:19.188,1075
16:34:19.284,1213
16:34:19.390,1075
16:34:19.481,1186
16:34:19.586,1413
16:34:19.687,1323
16:34:19.787,1271
16:34:19.884,1731
16:34:19.988,1874
16:34:20.085,1616
16:34:20.189,1374
16:34:20.283,1728
16:34:20.385,1475
16:34:20.487,1035
16:34:20.581,401
16:34:20.686,245
16:34:20.786,131
16:34:20.881,125
16:34:20.983,124
16:34:21.082,144
16:34:21.182,160
16:34:21.283,130
16:34:21.386,101
16:34:21.479,91
16:34:21.585,96
16:34:21.680,81
16:34:21.784,93
16:34:21.880,97
16:34:21.983,83
16:34:22.086,92
16:34:22.185,83
16:34:22.279,85
16:34:22.383,97
16:34:22.485,93
16:34:22.577,83
16:34:22.681,86
16:34:22.782,84
16:34:22.885,80
16:34:22.987,99
16:34:23.082,83
16:34:23.181,86
16:34:23.284,90
16:34:23.381,93
16:34:23.485,85
16:34:23.585,93
16:34:23.685,91
16:34:23.787,91
16:34:23.881,90
16:34:23.982,90
16:34:24.085,85
16:34:24.180,100
16:34:24.285,82
16:34:24.383,80
16:34:24.481,91
16:34:24.581,92
16:34:24.685,91
16:34:24.783,91
16:34:24.886,80
16:34:24.981,81
16:34:25.080,95
16:34:25.179,81
16:34:25.285,90
16:34:25.382,96
16:34:25.482,80
16:34:25.585,107
16:34:25.681,81
16:34:25.783,85
16:34:25.882,94
16:34:25.982,97
16:34:26.082,85
16:34:26.185,83
16:34:26.276,93
16:34:26.376,86
16:34:26.482,91
16:34:26.584,89
16:34:26.686,89
16:34:26.782,101
16:34:26.885,93
16:34:26.985,94
16:34:27.084,91
16:34:27.181,80
16:34:27.287,86
16:34:27.380,96
16:34:27.483,104
16:34:27.582,85
16:34:27.684,81
