Waktu (HH:MM:SS.ms),Nilai ADC
10:02:14.614,3958
10:02:14.614,2895
10:02:14.614,2299
10:02:14.614,1776
10:02:14.618,1401
10:02:14.618,1047
10:02:14.618,993
10:02:14.618,971
10:02:14.619,944
10:02:14.619,936
10:02:14.619,816
10:02:14.619,767
10:02:14.621,607
10:02:14.621,671
10:02:14.622,749
10:02:14.622,769
10:02:14.622,657
10:02:14.623,590
10:02:14.623,511
10:02:14.663,384
10:02:14.759,304
10:02:14.862,340
10:02:14.963,336
10:02:15.064,353
10:02:15.163,378
10:02:15.257,355
10:02:15.365,342
10:02:15.464,337
10:02:15.554,326
10:02:15.663,378
10:02:15.763,371
10:02:15.864,287
10:02:15.964,311
10:02:16.062,341
10:02:16.163,315
10:02:16.264,302
10:02:16.356,406
10:02:16.463,362
10:02:16.565,338
10:02:16.665,389
10:02:16.764,390
10:02:16.867,352
10:02:16.965,285
10:02:17.062,303
10:02:17.164,286
10:02:17.264,278
10:02:17.363,295
10:02:17.464,305
10:02:17.564,334
10:02:17.665,332
10:02:17.767,277
10:02:17.861,289
10:02:17.965,293
10:02:18.064,297
10:02:18.169,288
10:02:18.265,389
10:02:18.366,350
10:02:18.465,452
10:02:18.565,319
10:02:18.665,334
10:02:18.767,387
10:02:18.866,426
10:02:18.966,458
10:02:19.072,406
10:02:19.162,340
10:02:19.264,373
10:02:19.359,370
10:02:19.462,362
10:02:19.563,306
10:02:19.664,389
10:02:19.767,368
10:02:19.869,297
10:02:19.964,327
10:02:20.064,329
10:02:20.162,390
10:02:20.264,405
10:02:20.363,442
10:02:20.465,432
10:02:20.564,447
10:02:20.666,459
10:02:20.757,474
10:02:20.864,545
10:02:20.965,592
10:02:21.064,627
10:02:21.162,678
10:02:21.266,963
10:02:21.362,1023
10:02:21.465,731
10:02:21.565,686
10:02:21.662,528
10:02:21.765,475
10:02:21.865,589
10:02:21.967,709
10:02:22.065,473
10:02:22.165,464
10:02:22.266,421
10:02:22.364,384
10:02:22.466,334
10:02:22.564,310
10:02:22.667,369
10:02:22.767,421
10:02:22.865,433
10:02:22.964,407
10:02:23.064,381
10:02:23.164,412
10:02:23.264,400
10:02:23.364,447
10:02:23.464,448
10:02:23.568,489
10:02:23.663,574
10:02:23.756,545
10:02:23.856,697
10:02:23.964,849
10:02:24.066,688
10:02:24.164,686
10:02:24.265,635
10:02:24.368,624
10:02:24.464,497
10:02:24.559,570
10:02:24.664,678
10:02:24.764,423
10:02:24.864,356
10:02:24.964,303
10:02:25.065,352
10:02:25.161,368
10:02:25.265,445
10:02:25.363,459
10:02:25.464,530
10:02:25.561,457
10:02:25.668,417
10:02:25.763,398
10:02:25.864,471
10:02:25.964,526
10:02:26.057,687
10:02:26.164,509
10:02:26.264,551
10:02:26.364,627
10:02:26.462,384
10:02:26.564,311
10:02:26.664,293
10:02:26.764,283
10:02:26.864,311
10:02:26.964,337
10:02:27.063,362
10:02:27.160,337
10:02:27.264,343
10:02:27.369,336
10:02:27.460,419
10:02:27.561,445
10:02:27.664,489
10:02:27.764,389
10:02:27.865,364
10:02:27.964,306
10:02:28.064,354
10:02:28.164,332
10:02:28.273,349
10:02:28.362,305
10:02:28.459,336
10:02:28.562,417
10:02:28.666,349
10:02:28.764,437
10:02:28.865,442
10:02:28.963,485
10:02:29.072,385
10:02:29.164,386
10:02:29.265,378
10:02:29.364,368
10:02:29.466,354
10:02:29.566,393
10:02:29.664,345
10:02:29.764,534
10:02:29.865,496
10:02:29.959,346
10:02:30.059,364
10:02:30.164,421
10:02:30.260,400
10:02:30.364,362
10:02:30.465,320
10:02:30.565,303
10:02:30.662,331
10:02:30.765,380
10:02:30.858,336
10:02:30.963,352
10:02:31.062,358
10:02:31.160,386
10:02:31.263,434
10:02:31.364,360
10:02:31.457,343
10:02:31.564,332
10:02:31.664,384
10:02:31.761,338
10:02:31.864,307
10:02:31.960,322
10:02:32.064,475
10:02:32.172,459
10:02:32.262,401
10:02:32.364,433
10:02:32.463,453
10:02:32.562,423
10:02:32.667,401
10:02:32.762,351
10:02:32.864,393
10:02:32.964,426
10:02:33.065,434
10:02:33.164,505
10:02:33.264,409
10:02:33.367,667
10:02:33.461,544
10:02:33.565,460
10:02:33.664,357
10:02:33.764,419
10:02:33.865,386
10:02:33.963,388
10:02:34.068,368
10:02:34.167,398
10:02:34.262,368
10:02:34.364,410
10:02:34.466,389
10:02:34.564,400
10:02:34.664,419
10:02:34.765,643
10:02:34.864,721
10:02:34.972,641
10:02:35.065,595
10:02:35.164,466
10:02:35.264,431
10:02:35.363,473
10:02:35.464,417
10:02:35.563,407
10:02:35.668,426
10:02:35.763,434
10:02:35.864,505
10:02:35.964,535
10:02:36.063,464
10:02:36.165,432
10:02:36.264,502
10:02:36.364,574
10:02:36.464,511
10:02:36.562,542
10:02:36.664,496
10:02:36.764,423
10:02:36.863,401
10:02:36.964,389
10:02:37.065,387
10:02:37.164,423
10:02:37.263,463
10:02:37.364,538
10:02:37.460,402
10:02:37.564,443
10:02:37.664,488
10:02:37.764,494
10:02:37.866,427
10:02:37.965,443
10:02:38.062,382
10:02:38.164,395
10:02:38.266,502
10:02:38.359,437
10:02:38.463,467
10:02:38.566,400
10:02:38.664,355
10:02:38.766,384
10:02:38.864,412
10:02:38.973,426
10:02:39.072,496
10:02:39.162,587
10:02:39.264,635
10:02:39.366,572
10:02:39.464,599
10:02:39.564,499
10:02:39.664,461
10:02:39.760,403
10:02:39.863,429
10:02:39.963,343
10:02:40.064,400
10:02:40.164,371
10:02:40.267,413
10:02:40.364,410
10:02:40.464,422
10:02:40.565,416
10:02:40.658,350
10:02:40.764,361
10:02:40.864,336
10:02:40.964,308
10:02:41.063,336
10:02:41.164,325
10:02:41.265,342
10:02:41.363,345
10:02:41.467,337
10:02:41.565,325
10:02:41.666,315
10:02:41.760,306
10:02:41.866,294
10:02:41.966,322
10:02:42.064,360
10:02:42.165,307
10:02:42.260,314
10:02:42.366,368
10:02:42.464,304
10:02:42.565,288
10:02:42.666,313
10:02:42.764,332
10:02:42.867,301
10:02:42.967,322
10:02:43.060,326
10:02:43.164,333
10:02:43.263,302
10:02:43.356,349
10:02:43.462,321
10:02:43.559,320
10:02:43.664,421
10:02:43.766,330
10:02:43.858,298
10:02:43.962,297
10:02:44.063,320
10:02:44.164,297
10:02:44.265,271
10:02:44.365,275
10:02:44.464,310
10:02:44.564,339
10:02:44.663,318
10:02:44.765,320
10:02:44.859,345
10:02:44.967,321
10:02:45.067,304
10:02:45.164,284
10:02:45.263,370
10:02:45.364,339
10:02:45.463,339
10:02:45.557,283
10:02:45.661,304
10:02:45.763,299
10:02:45.874,313
10:02:45.958,334
10:02:46.065,336
10:02:46.166,337
10:02:46.262,336
10:02:46.363,332
10:02:46.464,303
10:02:46.558,318
10:02:46.660,317
10:02:46.766,291
10:02:46.857,305
10:02:46.961,300
10:02:47.066,322
10:02:47.166,383
10:02:47.268,361
10:02:47.364,361
10:02:47.457,343
10:02:47.564,363
10:02:47.666,384
10:02:47.764,380
10:02:47.865,378
10:02:47.962,524
10:02:48.065,471
10:02:48.165,405
10:02:48.261,392
10:02:48.357,422
10:02:48.458,423
10:02:48.562,394
10:02:48.662,405
10:02:48.767,418
10:02:48.865,397
10:02:48.966,410
10:02:49.057,371
10:02:49.166,414
10:02:49.266,364
10:02:49.363,325
10:02:49.468,368
10:02:49.561,395
10:02:49.666,421
10:02:49.764,442
10:02:49.864,511
10:02:49.964,533
10:02:50.068,646
10:02:50.163,790
10:02:50.266,973
10:02:50.364,1187
10:02:50.464,1409
10:02:50.561,1702
10:02:50.668,1827
10:02:50.769,1689
10:02:50.868,1605
10:02:50.961,1343
10:02:51.067,1220
10:02:51.164,1017
10:02:51.263,917
10:02:51.364,826
10:02:51.464,741
10:02:51.565,607
10:02:51.664,462
10:02:51.767,447
10:02:51.863,405
10:02:51.964,411
10:02:52.066,417
10:02:52.169,365
10:02:52.263,482
10:02:52.366,425
10:02:52.467,395
10:02:52.565,448
10:02:52.664,511
10:02:52.764,621
10:02:52.864,573
10:02:52.963,437
10:02:53.066,383
10:02:53.167,373
10:02:53.264,385
10:02:53.364,351
10:02:53.466,385
10:02:53.564,399
10:02:53.672,370
10:02:53.766,353
10:02:53.865,373
10:02:53.966,396
10:02:54.066,394
10:02:54.166,406
10:02:54.267,551
10:02:54.367,694
10:02:54.467,740
10:02:54.567,582
10:02:54.666,455
10:02:54.767,407
10:02:54.868,390
10:02:54.969,334
10:02:55.062,385
10:02:55.166,351
10:02:55.264,317
10:02:55.362,397
10:02:55.464,368
10:02:55.567,410
10:02:55.667,418
10:02:55.767,429
10:02:55.868,374
10:02:55.963,377
10:02:56.066,317
10:02:56.167,305
10:02:56.262,294
10:02:56.364,321
10:02:56.464,333
10:02:56.562,306
10:02:56.669,298
10:02:56.768,351
10:02:56.864,347
10:02:56.966,408
10:02:57.064,442
10:02:57.163,496
10:02:57.264,624
10:02:57.369,697
10:02:57.472,809
10:02:57.564,979
10:02:57.663,1157
10:02:57.768,1089
10:02:57.866,1365
10:02:57.963,1497
10:02:58.070,1399
10:02:58.170,1290
10:02:58.263,1062
10:02:58.364,848
10:02:58.472,813
10:02:58.558,589
10:02:58.662,454
10:02:58.767,380
10:02:58.864,349
10:02:58.964,319
10:02:59.064,353
10:02:59.160,345
10:02:59.266,336
10:02:59.367,326
10:02:59.464,327
10:02:59.568,331
10:02:59.668,342
10:02:59.761,396
10:02:59.864,448
10:02:59.963,587
10:03:00.064,592
10:03:00.163,752
10:03:00.266,511
10:03:00.362,386
10:03:00.464,415
10:03:00.568,401
10:03:00.663,355
10:03:00.764,350
10:03:00.866,382
10:03:00.966,389
10:03:01.064,351
10:03:01.167,397
10:03:01.264,369
10:03:01.365,410
10:03:01.462,408
10:03:01.564,528
10:03:01.666,454
10:03:01.764,404
10:03:01.864,397
10:03:01.964,368
10:03:02.064,339
10:03:02.172,371
10:03:02.261,361
10:03:02.366,345
10:03:02.457,375
10:03:02.560,325
10:03:02.665,336
10:03:02.766,336
10:03:02.867,332
10:03:02.973,391
10:03:03.066,392
10:03:03.164,362
10:03:03.263,438
10:03:03.366,401
10:03:03.467,417
10:03:03.564,448
10:03:03.667,391
10:03:03.764,371
10:03:03.868,365
10:03:03.966,378
10:03:04.064,414
10:03:04.164,404
10:03:04.263,367
10:03:04.368,404
10:03:04.463,400
10:03:04.564,435
10:03:04.660,414
10:03:04.766,442
10:03:04.864,473
10:03:04.963,574
10:03:05.065,611
10:03:05.169,560
10:03:05.261,531
10:03:05.369,511
10:03:05.467,525
10:03:05.563,535
10:03:05.666,496
10:03:05.764,511
10:03:05.866,495
10:03:05.968,530
10:03:06.068,546
10:03:06.164,511
10:03:06.264,531
10:03:06.363,492
10:03:06.464,485
10:03:06.567,470
10:03:06.665,445
10:03:06.768,470
10:03:06.862,481
10:03:06.966,507
10:03:07.061,539
10:03:07.167,571
10:03:07.266,493
10:03:07.368,449
10:03:07.469,435
