Window,Start_Sample,End_Sample,Prediksi,Confidence,VAR,SSC,WL
1,0,50,RELAKS,66.7%,3008.1599999999994,24,1696
2,50,100,GENGGAM,100.0%,1089259.2400000002,17,13326
